7:302,76,616,58,8,866,29,650,81,70
18:17,302,654,76,616,58,8,866,84,29
19:5048,5145,2048,98,4600,6774,9127,13894,741,17974
36:17,654,76,616,58,8,866,84,29,650
37:17,302,654,76,616,58,8,866,84,29
41:17,302,654,76,616,58,866,29,650,81
42:17,302,654,76,58,866,84,29,650,81
43:17,302,654,76,616,58,8,866,84,29
44:302,76,616,8,866,84,81,70,564,518
45:17,866,650,518,224,226,138,301,361,899
46:302,76,616,58,8,866,650,81,564,542
59:654,76,616,58,29,650,81,564,224,542
60:302,76,616,58,8,84,29,650,81,70
69:302,654,76,58,866,29,650,81,564,224
70:302,654,76,616,58,8,84,29,650,81
94:17,302,654,76,616,58,866,84,29,650
106:8,866,84,29,81,70,518,224,226,1102
115:58,8,866,29,81,518,224,354,226,138
116:17,302,654,76,616,58,8,866,84,29
142:58,8,866,84,29,81,1102,301,361,6
143:17,302,654,76,616,58,8,866,84,29
148:17,302,654,76,616,58,8,866,84,29
150:17,302,654,8,866,84,29,650,81,70
156:302,76,616,58,8,866,84,29,650,81
161:76,616,866,84,29,650,81,70,564,224
171:302,76,8,866,84,650,81,70,564,518
172:654,76,58,8,866,84,81,70,564,518
174:17,302,654,76,616,58,8,866,84,29
177:17,654,76,616,58,8,866,84,29,650
196:76,616,866,29,650,81,564,224,542,354
202:302,58,8,866,518,224,542,354,1102,138
211:17,302,654,76,616,58,8,866,84,29
217:17,302,654,76,616,58,8,866,84,29
220:17,302,654,76,616,58,8,866,84,29
223:302,654,76,616,58,8,866,84,29,650
224:17,302,654,76,616,58,8,866,84,29
225:302,654,76,616,58,8,866,84,29,81
228:17,302,654,76,616,58,8,84,29,650
229:58,866,84,81,518,1102,508,736,15,361
231:302,654,76,616,58,8,866,84,29,81
232:17,866,650,518,224,226,138,301,361,899
238:17,302,654,76,616,58,8,866,84,29
241:76,616,58,866,84,29,650,81,70,564
245:81,70,226,262,873,986,1535,780,1276,5767
249:17,302,654,76,616,58,8,84,29,650
250:302,654,616,58,8,866,84,29,81,70
253:17,302,654,76,616,58,8,866,84,29
257:17,866,84,81,70,542,354,226,1102,508
